,kingdom,supergroup,division,class,order,family,genus,species,taxon
Opalozoa_194,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.,Bicoecaceae_X_sp.
Picozoa_3,Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,Picozoa_XXXX_sp.
Sagenista_36,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,quahogparasite-QPX,quahogparasite-QPX_sp.,quahogparasite-QPX_sp.
Streptophyta_550,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Gilia,Gilia_capitata,Gilia_capitata
Streptophyta_552,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Camellia,Camellia_sinensis,Camellia_sinensis
Dinoflagellata_1778,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Borghiellaceae,,,Borghiellaceae
Dinoflagellata_716,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrophacaceae,Fragilidium,Fragilidium_mexicanum,Fragilidium_mexicanum
Streptophyta_464,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Burmannia,Burmannia_hexaptera,Burmannia_hexaptera
Discoba_17,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,Gruberellidae,Stachyamoeba,Stachyamoeba_sp.,Stachyamoeba_sp.
Apusomonadidae_8,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Apusomonas,Apusomonas_proboscidea,Apusomonas_proboscidea
Centroheliozoa_2,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,,Centroheliozoa_X
Ciliophora_472,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_5,Chlamydodontidae,,,Chlamydodontidae
Conosa_91,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Cavosteliids,Cavostelium,Cavostelium_apophysatum,Cavostelium_apophysatum
Cercozoa_135,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Cyphoderiidae,Cyphoderia,Cyphoderia_ampulla,Cyphoderia_ampulla
Cercozoa_347,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Vampyrellida_X,Vampyrellida_XX,Vampyrellida_XX_sp.,Vampyrellida_XX_sp.
Cryptophyta_33,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,Geminigera_cryophila
Sagenista_160,Eukaryota,Stramenopiles,Sagenista,,,,,,Sagenista
Sagenista_61,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Aplanochytrium,Aplanochytrium_sp.,Aplanochytrium_sp.
Streptophyta_504,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Panax,Panax_notoginseng,Panax_notoginseng
Cercozoa_32,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,,,Limnofilidae
Ciliophora_1461,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_B,Pseudotontonia,Pseudotontonia_simplicidens,Pseudotontonia_simplicidens
Pseudofungi_49,Eukaryota,Stramenopiles,Pseudofungi,Hyphochytriomyceta,Hyphochytrydiales,Hyphochrytriaceae,Rhizidiomyces,Rhizidiomyces_apophysatus,Rhizidiomyces_apophysatus
