,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.06_2.2_bottom_16S.exp.,2.09354002,0.295228112,2.345734158,0.509246182,3092.807212,349.6772521,3296851.876,368675.9566,64.18608007,5.305440933,0.457552523,0.077462753,0.49170056,0.084139437
08.06.2019_5_T0_16S.exp.,2.028863972,0.288618061,2.326364851,0.841613661,2884.752401,405.4826754,3237810.057,387637.955,55.07323119,8.483533671,0.361000414,0.112641791,0.446381999,0.175669763
08.06.2019_2B_Bottom_10h_16S.exp.,2.15735473,0.162363846,2.335837271,0.196244091,3160.564593,224.3561631,3345734.2,246061.684,65.55228404,2.853864547,0.466161752,0.040596423,0.498808344,0.042369892
08.06.2019_2B_Bottom_48h_16S.exp.,2.170396158,0.116713002,2.350009481,0.137396981,3170.072506,218.8214888,3357325.894,234372.0065,65.60161347,2.872395545,0.462479612,0.047191691,0.495877836,0.050997901
2019.08.06_3_sediment_16S.exp.,1.601245827,0.559815024,2.397204145,1.800542559,2981.410707,521.9518184,3193181.473,555674.702,60.72442719,6.566626555,0.489378544,0.134703901,0.493625286,0.134921868
08.06.2019_1_T0_16S.exp.,1.97197363,0.357491638,2.341536552,1.209870342,2999.800128,358.7897639,3309568.959,310975.1371,57.19216,7.866198472,0.395634881,0.114415209,0.473239754,0.156531013
2019.08.07_6.1_16S.exp.,1.993990368,0.269201338,2.295345862,0.988146431,2903.000449,342.8505548,3275915.219,280411.571,54.17354883,7.768956809,0.355002586,0.106163711,0.449999465,0.178458313
2019.08.06_2_sediment_16S.exp.,1.181377162,0.240854578,1.068231864,0.482867632,1623.183807,417.2879304,1693325.566,450264.5043,48.79438178,5.197133357,0.37619914,0.146433122,0.48092027,0.17753802
08.06.2019_5A_10h_16S.exp.,1.854497209,0.489730806,2.417804016,0.86877282,2872.582497,372.5697059,3165411.938,375186.5404,58.79417214,8.099625707,0.432063109,0.133584791,0.475714811,0.150979089
2019.08.07_6.4_16S.exp.,1.996244807,0.285092408,2.327180879,0.998257518,2913.42386,367.4067831,3280201.476,318927.571,54.65434476,7.997317418,0.360023277,0.109477813,0.45212072,0.17679324
2019.08.06_4.4_16S.exp.,2.013590933,0.311344931,2.313420009,0.859795619,2904.631551,349.6113973,3262150.483,306706.631,55.21912635,8.126230165,0.369162929,0.110651135,0.428145902,0.159852385
2019.08.06_1_CP_ULT_16S.exp.,1.970774471,0.353229558,2.396382905,1.181385173,2980.846099,370.3488417,3307484.204,324788.1967,56.7924264,8.102399412,0.387866073,0.116531694,0.470012012,0.163017993
2019.08.07_8.2_16S.exp.,2.001301308,0.274812881,2.2531945,0.982612951,2922.745318,332.8182792,3281805.252,264739.1344,54.84934292,7.908112037,0.361656041,0.103937433,0.453040392,0.172319131
08.06.2019_4_T0_16S.exp.,2.034312465,0.324760541,2.298830181,0.894726882,2917.491509,314.5157685,3268218.472,240453.4099,55.5988024,8.168561662,0.372631589,0.110074411,0.429405469,0.155993179
08.06.2019_3B_48h_16S.exp.,2.034074221,0.273289423,2.364303357,0.812407889,2876.374222,372.9778769,3255813.127,334153.1662,53.82811559,7.898693434,0.349604526,0.108641989,0.451935167,0.185675363
08.06.2019_3B_10h_16S.exp.,2.044578614,0.272213103,2.375957636,0.853824048,2899.108458,358.2229459,3270234.344,306312.8772,54.40885992,8.059031198,0.355727913,0.106973011,0.452003146,0.179229002
2019.08.07_8.4_16S.exp.,1.997631393,0.278512037,2.250349,1.013808738,2925.426717,349.8066252,3281117.325,291144.7042,54.86422973,7.880409466,0.362563435,0.105823977,0.455114892,0.173338924
08.06.2019_4B_diluted_48h_16S.exp.,2.060558527,0.307642037,2.356250242,0.835465195,2945.505616,343.7321912,3292110.765,283049.4368,56.35267804,8.450449512,0.37837789,0.109802322,0.431922812,0.151664608
2019.08.06_1_CP_0.2_16S.exp.,1.956900786,0.399522566,2.407613771,1.33712003,3055.616891,353.1459701,3335673.031,312760.4819,58.87126288,7.572982293,0.416444716,0.112796238,0.483610984,0.142649424
08.06.2019_2B_Bottom_24h_16S.exp.,2.161396394,0.148965259,2.338837735,0.204481609,3163.000726,229.9071876,3349139.7,250146.1441,65.55242936,2.852448148,0.46467015,0.047268386,0.49711394,0.049888713
2019.08.06_1_salt_16S.exp.,1.99706762,0.316810032,2.282460501,1.19480977,3011.509786,412.1375836,3313406.533,363117.8571,56.43687857,7.6636447,0.388794426,0.112883859,0.447311898,0.153888516
2019.08.06_4.3_16S.exp.,2.033480354,0.283447198,2.343504561,0.789872603,2873.692069,332.4824577,3261259.103,279712.8721,53.93537616,7.963944738,0.350942768,0.105372238,0.433786698,0.17563638
08.06.2019_2A_Bottom_48h_16S.exp.,2.146855254,0.191552743,2.33444234,0.309959895,3138.890843,305.1283885,3331463.64,323433.4091,64.85812925,4.629805511,0.456895898,0.068013752,0.489102755,0.07425986
2019.08.06_2.1_surface_16S.exp.,2.170692961,0.101831487,2.345096681,0.217093783,3172.161163,178.0562215,3363709.034,180079.6242,65.42756029,3.132948804,0.461784509,0.043245439,0.495369907,0.048148469
