,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.07_6.1_16S.exp.,1.139916583,0.831136422,2.673906673,1.803848217,2357.462305,969.9467564,3076466.439,1130699.827,52.42870978,15.24613066,0.388824164,0.038835604,0.469141609,0.121188274
2019.08.06_4.1_16S.exp.,1.732308277,1.147309456,1.946268317,1.519953174,3053.419877,918.2584266,3610937.852,1161773.746,57.0520758,11.4463861,0.410816106,0.105136969,0.482153955,0.15512665
2019.08.06_3_salt_16S.exp.,1.024426133,0.377034879,4.656023151,0.829309107,3071.078674,314.3397063,3878988.57,381755.3295,64.90192415,4.920576229,0.367167551,0.011055959,0.417730799,0.108481296
2019.08.07_6.3_16S.exp.,1.137827318,0.893321781,2.907967681,1.790859761,2401.825018,976.7951743,3145458.334,1151519.421,52.97452741,15.16398233,0.384918868,0.033777884,0.484270384,0.126263976
2019.08.06_4.5_16S.exp.,1.954698843,1.63365332,2.710662762,1.651994549,3153.503172,963.5413376,3831344.908,1235002.11,57.19442646,12.58829106,0.377106302,0.095911231,0.469906457,0.168535662
2019.08.07_6.1_lab_16S.exp.,1.066774194,0.629484138,2.288870968,1.705495899,2070.988065,940.1734123,2768715.292,1079337.81,48.08812087,15.20760763,0.395477534,0.03099268,0.459404187,0.107899811
2019.08.07_8_salt_16S.exp.,1.012351636,0.291158226,1.608366303,1.272129773,1642.972884,726.036935,2287942.242,811771.5304,41.29023801,12.38305464,0.409037985,0.022965482,0.445974232,0.082410707
2019.08.06_5_sediment_16S.exp.,3.426123439,1.48936798,1.34671049,1.023740975,3126.986724,690.4615778,3666531.575,854930.0181,52.76905447,6.570432752,0.428877094,0.058854091,0.452045883,0.09546241
08.06.2019_4B_48h_16S.exp.,1.725990113,1.293823382,3.074209854,1.69521444,3041.320613,1051.689799,3642415.717,1186613.488,59.15309596,12.2521875,0.396092994,0.061631786,0.484614554,0.134821885
2019.08.07_6_sediment_16S.exp.,1.669209015,1.486600232,3.685062987,1.694238182,2827.99503,556.5115184,3519363.56,714651.1829,57.59140568,13.86548318,0.369393818,0.025059273,0.42018993,0.111831194
2019.08.06_5.1_16S.exp.,1.540200312,1.245388577,3.281344649,1.525339893,3163.310984,723.7146772,3898124.5,844499.9573,60.52632,11.07897305,0.366047924,0.079484713,0.506255375,0.173125496
08.06.2019_4A_24h_16S.exp.,1.450905622,1.16111033,3.490074385,1.495862749,3185.242473,1047.115584,3891982.64,1261793.581,62.27659792,9.500144548,0.394809439,0.055922463,0.513292481,0.131665551
08.06.2019_2_Top_T0_16S.exp.,1.988758962,0.900516367,1.075891033,0.355544957,2683.852109,954.2312819,3052309.24,1218576.261,53.99145431,15.36767438,0.440393848,0.116188757,0.462995921,0.136998888
2019.08.07_8.1_16S.exp.,1.141318477,0.908259999,4.164500155,1.124955492,3098.13909,399.4068874,3917722.884,573785.8888,64.92430919,5.093509278,0.363624878,0.018480503,0.509589101,0.147936633
08.06.2019_4B_24h_16S.exp.,1.626186403,1.49328521,2.933164057,1.704809521,2991.989989,886.2237111,3551888.947,1018261.22,60.80968705,9.277832465,0.40227036,0.084083182,0.470122152,0.135437754
08.06.2019_2A_Top_10h_16S.exp.,2.002782347,0.878737469,1.078777849,0.376185126,2664.276327,945.1954318,3039984.226,1222745.625,51.62637999,15.65872641,0.431086558,0.118794747,0.466142662,0.150101363
2019.08.06_1_CP_ULT_16S.exp.,1.182814555,1.029442971,3.44129037,1.560420673,2788.179307,825.4395543,3577695.544,1010737.578,59.40122485,12.50213885,0.372251388,0.03036837,0.529198807,0.139768189
2019.08.06_2_sediment_16S.exp.,1.959250737,1.140324441,1.454519858,1.021097006,2954.73821,1066.771612,3450637.373,1357715.929,52.56254316,9.859459056,0.367131106,0.098301306,0.484111609,0.188390501
2019.08.06_4_sediment_16S.exp.,2.79133709,1.843822054,1.856107862,1.429030293,3528.637706,1403.620503,4121041.051,1673736.149,55.94941803,11.93864145,0.412314322,0.095603052,0.476506757,0.141953298
2019.08.07_6.4_16S.exp.,1.115700104,0.82388143,3.053885841,1.746777694,2481.095402,936.3723255,3229982.836,1098246.014,54.61886854,14.79178669,0.382700251,0.032205607,0.488575507,0.129493486
08.06.2019_2A_Bottom_48h_16S.exp.,1.920810643,0.928347626,1.087629481,0.501981036,2510.539912,1081.559502,2880158.77,1335620.77,52.11642909,16.3140606,0.455920009,0.115801613,0.471319161,0.133434382
2019.08.07_8_sediment_16S.exp.,1.174675146,0.763281203,3.813335034,1.704549223,2865.626126,633.9722032,3625217.636,768598.0376,61.35483158,10.293557,0.376818201,0.032352946,0.414669618,0.098968485
08.06.2019_3B_24h_16S.exp.,1.004382383,0.14454594,4.455386793,0.812631552,3082.975802,126.3217432,3885948.761,179707.1611,65.74319332,0.942209584,0.366262137,0.006182344,0.459749223,0.136398159
08.06.2019_1A_24h_16S.exp.,1.23187339,1.149681355,3.636731689,1.439538401,3028.525089,627.8813598,3845744.536,843263.9417,63.22511471,8.603582148,0.364424678,0.026786547,0.546327878,0.144146969
