,5,12,40,57,62,65,99,110,112,113,114,127,128,136,141,146,148,151,154,155,156,157,160,162,163,164,166,167,168,169,170,171,175,176,177,178,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,203,204,206,207,208,209,211,213,214,215,216,218,219,220,221,223,224,225,228,230,232,233,234,251,256,301,302,303,306,318,320,406,407,408,418,434,468,469,470,474
2019.08.06_4.2_16S.exp.,,,,,,,2.666666667,,,4.774193548,,,,,,,19,,18,,,,3.666666667,,6.909090909,191.6666667,33,21,,,,,,104.2380952,,,,,,31,208,20,,41,,123.1724138,,59.5,4131.5,1022.5,,,186,,,,31.5,,,368.5,229.3333333,101,27,335,,,94.875,1431,37,76,399,503.3587786,,9.956896552,,,,53,,,,,,,15.70909091,,,,,,
08.06.2019_1A_24h_16S.exp.,,,,,,,,,,,,,,,,,220,,206,153,,,11,,,69.66666667,39,37,21,,,,,78.04761905,44.08695652,,,,,,,,,49,,102.2068966,,,1641.5,1275,,,93.5,35.5,,,85.5,,,152.5,48.33333333,654.5,27.85714286,1007.083333,13,,,2000.5,,71,249.6136364,193.2824427,3.897321429,8.146551724,,,,30,33,,,,,,,,5.571428571,,,,
08.06.2019_4B_48h_16S.exp.,,,,,,,,,,,,,,,,,,,,,24,,,,,65,,,,,,,,47.14285714,,,,,,,100,,,24,,72.72413793,,,1675,420.5,,,90,,,,9,,,149,88.66666667,36,,165.4166667,,,60.95833333,296.5,19.5,6.5,231,125.4961832,,,,,,,,,,,,,,,,,,,
2019.08.07_6.2_16S.exp.,,,,,,,,,,,,,,,,,115,,146,56,,,22,,,62.33333333,34,55,13,,,,,82.23809524,23.17391304,,,,,,12,,,40,,77.96551724,,63,3115,1748,,,105.5,10.5,,,70,,,183.5,59,462,5.142857143,642.5,,,26.58333333,1853.5,,79,119.3181818,319.6946565,,7.693965517,,,,60,43,,,,,,,,,,,,
2019.08.07_6_sediment_16S.exp.,,,57,,,,,,,,,,,,,,30,,105,,15,,95.33333333,,3.636363636,21,16,66,118,61,,39,,28.80952381,,111,,,,,144,,,,,41.27586207,,,1151,361.5,,,25,,,,74.5,,37.6,79.5,16.66666667,56.5,65.57142857,113.3333333,,,13.75,727.5,24.5,18,108.8181818,170.3816794,,,,,,13,,,,,,,,,,,,,
08.06.2019_5B_10h_16S.exp.,,,,,,,,,,,,,,,,,7,,20,,,,9,,7.272727273,177,101.5,,44,,,,,72.80952381,,24,,,,,2036,,,83,,92.37931034,,,2353,775,,,216,,,,27,,,495,161.3333333,184.5,42.42857143,289.5833333,,,70.125,973.5,142,46.5,241.0227273,408.5496183,,,,,,15,11,,1,,,,,,,,,,
2019.08.07_7_sediment_16S.exp.,,,54,,,1.333333333,,,,,,13,13,,,2.545454545,820,,188,221,200,,270.3333333,,57.81818182,32.66666667,123.5,247,419,34,42,115,,23.57142857,4.52173913,776,41,62,,13,26,3,,,,27.51724138,,36.5,1709.5,615,45,,11,113,,,72.5,,,119.5,39,175,53.14285714,217.0833333,25,,16.04166667,1437.5,380.5,56,201.4090909,493.740458,45.03571429,45.7112069,,115,19.42857143,147,,,,,,,5.890909091,,777.2142857,,,,
08.06.2019_2B_Top_48h_16S.exp.,,,,,,,,,,,,,,,,,,,6,,,,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,26.5,6,,,,,,,,,,,,7.5,,,,,2345.75,25,,,,,,,,,,22,1,,,,,,,,,,,,
08.06.2019_3A_24h_16S.exp.,,,,,,,,,,,,,,,,,20,,36,,,,3,,,240.3333333,41.5,,4,,,,,118.9047619,,,,,,,70,,,,,100.8965517,,201.5,4248,2422,,,,,,,33,,,371,164,174.5,0.857142857,412.9166667,,,1.833333333,1610.5,13.5,35.5,256.7727273,1090.992366,,4.525862069,,,,127,23,,,,,,,,,,,,
08.06.2019_5B_48h_16S.exp.,,,,,,,,,,,,,,,,,,,13,,,,10.66666667,,5.090909091,216.3333333,42,,11,,,,,92.19047619,,14,,,,,1379,,,73,,83.86206897,,,2128,662,6.5,,245.5,,,,9.5,,,469,171.6666667,111,51.42857143,294.5833333,,,15.125,852.5,115.5,59,319.7727273,334.8091603,,,,,,9,9,,,,,,,,,,,,
2019.08.06_1.1_16S.exp.,,,,,,,,,,,,,,,,,459,,243,215,31,,23.66666667,,7.636363636,97.66666667,43,,15,,,,,88.52380952,57.08695652,,,,,,,,,62,,91.72413793,9,67,3263,2014.5,,,104.5,39.5,,,115.5,,,152.5,42.66666667,622,6.857142857,1147.916667,14,,,2137,3,80.5,296.8636364,309.1603053,7.794642857,14.93534483,,,,79,52,,,,,,,,,,,,
08.06.2019_4B_10h_16S.exp.,,,,,,,,,,,,,,,,,42,,36,,,,2.333333333,,,97.33333333,9,,,,,,,49.76190476,,,,,,,47,,,19,,42.5862069,,,1573.5,404.5,,,,,,,10,,,134,88,43.5,,185.4166667,,,213.125,577.5,13.5,32,223.3636364,130.9923664,,,,,,,13,,,,,,,,,,,,
2019.08.06_3_salt_16S.exp.,,,,,,,,,,,,,,,,,236,,236,,,,89,,13.81818182,38.33333333,237,184,111,,,,,140.3809524,,21,,,,,148,13,,,,34.06896552,,43.5,2292,833,,,3.5,8.5,14.5,,145.5,6,98.4,448.5,36.66666667,253.5,242.1428571,637.9166667,,,5.041666667,1621.5,51,80,149.3863636,1258.167939,,,,,,104,7,,,,,,,,,,,,
2019.08.07_8.3_lab_16S.exp.,,,,,,,,,,,,,,,,,107,,98,24,18,,13,,,78.66666667,35,52,10,,,,,75.42857143,3.956521739,,,,,,,,,16,,85.82758621,,55.5,3004,1598.5,,,,,,,75,,,207,69.66666667,331.5,6,727.9166667,,,,1861.5,,50,151.2954545,251.9083969,,5.431034483,,,,28,43,,,,,,,,,,,,
2019.08.07_6.3_16S.exp.,,,,,,,,,,,,,,,,,148,,204,69,6,,22.33333333,,,72,36.5,71,23,,,,,91.66666667,22.04347826,,,,,,12,,,33,,82.55172414,,67.5,4002,2294,,,,10,,,74.5,,,199.5,68.66666667,565,5.571428571,781.6666667,,,11.45833333,2368.5,,83,146.5227273,325.648855,,9.504310345,,,,65,60,,,,,,,,,,,,
