,5,6,18,20,38,47,53,58,80,83,146,155,156,164,169,170,171,172,174,213,219,225,233,235,236,243,244,252,257,273,294,301,305,306,312,315,320,335,345,349,352,355,356,363,364,368,372,374,381,383,385,386,389,398,401,402,403,404,407,410,411,412,417,418,421,433,434,437,438,441,451,452,455,457,474,489,492,493,495,499,501,502,503,504,507,509,515,517,532,541,543,544,547,548,555,558,563,565,618,643,644,645,698,699,705,761,769,770,776,777,778,779,781,782,794,798,800,803,810,816,828,839,840,843,845,856,857,858,864,888,890,891,896,907,925,958,960,962,963,964,965,997,1019,1024,1026,1031,1033,1035,1072,1073,1075,1081,1109,1110,1115,1116,1142,1143,1148,1178,1186,1187,1188,1189,1190,1191,1238,1239,1247,1252,1253,1259,1260,1263,1278,1279,1283,1307,1309,1310,1318,1351,1372,1374,1383,1388,1406,1407,1408,1422,1425,1430,1434,1435,1439,1448,1452,1453,1456,1459,1470,1522,1526,1527,1530,1547,1584,1585,1586,1589,1590,1594,1595,1596,1601,1604,1605,1652,1653,1654,1675,1678,1679,1682,1683,1690,1691,1694,1695,1702,1732,1740,1745,1751,1758,1761,1771,1838,1860,1870,1907,1938,1944,1945,1954,1955,1959,1982,1983,1986,1987,1994,2006,2022,2029,2031,2044,2046,2049,2050,2054,2055,2057,2064,2076,2090,2093,2097,2108,2109,2111,2115,2116,2117,2118,2119,2134,2135,2136,2148,2169,2176,2187,2190,2209,2211,2599,2649,2671,2681,2682,2683,2689,2703,2709,2710,2716,2722,2723,2724,2725,2730,2731,2742,2744,2764,2811,2813,2818,2820,2827,2829,2832,2849,2851,2881,2887,2971,3116,3128,3141,3249,3290,3351,3403,3409,3438,3439,3473,3526,3527,3587,3689,3878,3879,3884,3885,3890,3891,3901,3919,3949,3950,3961,3962,3979,4035,4037,4048,4113,4143,4157,4202,4203,4223,4292,4311,4335,4338,4342,4344,4405,4411,4445,4464,4515,4517,4522,4529,4530,4537,4544,4553,4554,4555,4590,4600,4602,4628,4683,4689,4690,4712,4714,4715,4718,4731,4773,4850,4851,4852,4853,4854,4855,4856,4858,4860,4861,4862,4863,4864,4865,4866,4870,4897,4901,4917,4932,4933,4943,4960,4962,4964,4965,4972,4973,4974,4975,4976,4977,4994,4995,4998,4999,5003,5004,5005,5006,5007,5008,5009,5010,5017,5051,5052,5054,5055,5060,5087,5093,5094,5095,5096,5098,5132,5278,5363,5365,5368,5392,5401,5413,5414,5415,5416,5423,5431,5450,5456,5457,5462,5472,5490,5492,5514,5521,5524,5525,5572,5602,5688,5690,5759,5762,5777,5787,5791,5793,5798,5820,5829,5836,5844,5871,5874,5919,5921,5924,5941,5958,5962,5996,6004,6052,6079,6090,6099,6121,6154,6235,6252,6256,6258,6265,6300,6307,6320,6321,6344,6380,6465,6586,6618,6619,6623,6624,6626,6631,6632,6633,6634,6635,6638,6639,6640,6669,6673,6677,6678,6681,6683,6684,6685,6686,6688,6689,6690,6693,6723,6766,6771,6777,6789,6836,6843,6844,6861,6868,6885,6886,6889,6890,6894,6897,6902,6903,6923,6928,6950,6954,7100,7151,7163,7171,7172,7179,7180,7181,7182,7183,7184,7194,7214,7222,7224,7231,7234,7242,7247,7254,7276,7279,7284,7288,7291,7295,7300,7321,7323,7331,7333,7344,7346,7351,7354,7355,7357,7363,7376,7378,7386,7398,7399,7400,7404,7405,7406,7407,7411,7421,7422,7423,7426,7427,7429,7434,7461,7463,7467,7471,7474,7485,7491,7502,7503,7504,7505,7510,7511,7512,7513,7514,7515,7516,7517,7518,7523,7526,7528,7530,7532,7533,7534,7537,7540,7545,7546,7549,7556,7561,7562,7564,7567,7568,7569,7570,7572,7573,7576,7578,7580,7581,7584,7585,7586,7587,7588,7589,7590,7595,7596,7597,7598,7599,7600,7604,7605,7607,7698,7699,7700,7701,7703,7704,7705,7707,7715,7718,7719,7728,7729,7730,7733,7734,7735,7736,7737,7738,7739,7750,7751,7759,7760,7761,7762,7763,7764,7765,7766,7767,7768,7769,7770,7771,7779,7780,7781,7782,7791,7793,7797,7800,7805,7808,7820,7823,7827,7960,8212,8214,8219,8221,8223,8224,8225,8243,8256,8261,8263,8266,8267,8268,8269,8271,8275,8276,8277,8279,8290,8308,8312,8314,8318,8319,8320,8321,8322,8323,8324,8325,8327,8328,8330,8332,8333,8334,8335,8339,8348,8349,8350,8351,8352,8354,8361,8363,8384,8385,8387,8388,8390,8392,8395,8396,8397,8407,8408,8409,8415,8419,8427,8430,8438,8439,8440,8443,8444,8446,8518,8528,8534,8580,8590,8595,8607,8628,8643,8664,8674,8768,8775,8782,8806,8824,8841,8853,8931,8938,8940,8956,8957,8965,8967,8983,9026,9027,9034,9043,9065,9240,9287,9339,9343,9349,9365,9456,9458,9465,9484,9501,9514,9522,9552,9554,9555,9558,9559,9560,9563,9569,9570,9580,9583,9626,9627,9635,9636,9649,9650,9651,9653,9654,9655,9658,9659,9663,9665,9669,9670,9671,9675,9676,9682,9684,9686,9695,9697,9700,9705,9742,9762,9774,9777,9784,9786,9789,9793,9804,9805,9810,9812,9816,9826,9835,9836,9837,9840,9861,9865,9874,9879,9907,9909,9917,9960,9964,9997,9998,9999,10004,10005,10006,10012,10019,10020,10021,10022,10024,10028,10032,10033,10035,10038,10040,10041,10069,10084,10090,10131,10139,10143,10144,10145,10167,10217,10320,10336,10351,10393,10485,10490,10503,10512,10519,10526,10528,10537,10540,10541,10543,10545,10546,10547,10549,10552,10555,10557,10558,10560,10561,10567,10568,10586,10588,10601,10615,10656,10693,10721,10749,11006,11012,11050,11482,11742,11819,11912,12232,12414,12446,12478,12536,12551,12606,12607,12608,12651,12700,12712,12839,12852,12915,13006,13018,13020,13023,13031,13045,13140,13256,13260,13309,13317,13350,13351,13352,13356,13367,13376,13426,13434,13438,13439,13440,13445,13446,13453,13464,13479,13480,13482,13483,13487,13490,13503,13506,13507,13511,13512,13515
2019.08.06_4_salt_16S.exp.,,,,,3.6,1.75,,,3,,16,,,3.421052632,21,,,,,,,,,,,,,,28,,,,,14.33333333,,21.5,,8.5,3,,,10,,32,4,,,,13,,23,15,,13.66666667,,5,,,,2,5,,,,4.727272727,1.263157895,3.804878049,,,,,,,,,,,,1.8,,,,,,,,,,,8.5,3.5,,,,,,,,,,,,9.013333333,,,94,,,,,,,5,,7.5,,,,,,,,,1.6,,,,,1,0.496124031,2,,,,,13.48148148,,,,,,,,7,,,,,9,,1.2,2,,1.5,1,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,27.25,,1,0.857142857,,,,,,39,2,,,,,,2.083333333,,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.25,,,0.25,,,,,0.414012739,,,,,,0.4,,0.416666667,,,,,,,,,,,2,,0.851851852,,,2.461538462,0.48,,0.827586207,,,,,,1.345794393,6.857142857,,8.513274336,,,2.454545455,3.421052632,,2.571428571,,1.833333333,2.142857143,,6.714285714,,2.555555556,,,3.272727273,1,,,,,,1.818181818,,,,3.333333333,3.909090909,,,1.285714286,,,,,,,,1.614457831,,,12.5,10.25,,,4,,,,0.666666667,,,,,0.4,,,,,,,,,,,2.655172414,,2.926829268,,,,,,1.5,,,2.285714286,,,,,,,,,,,,,,,,,,,0.479241542,,0.404411765,,0.444444444,0.666666667,,,,,0.25,,,1,,,,16.4,,,,,,,,,,,,1.071428571,,1.07213957,,,1.2,6,3,,,,1,2.5,,1,1.333333333,,,5.833333333,,,,,,9,9,2.5,,,,,5.333333333,21,5,5.666666667,,1.5,,,,16.5,,,11.5,11.5,,5.666666667,,,,10.33333333,,,7,,,,,,,,32,6.666666667,,,,,,,,6,,,,,,,,,,,7.272727273,,,,,4.636363636,2,,,,,,,,,2.5,21,4,55,40,,,,30,,,,3,,,,,1,,,,580,,66,,184,4,,2,,11.66666667,5.5,4.4,0.666666667,,,,1,3.666666667,,,,,7.333333333,8,,1.666666667,13.5,,2.736842105,,,,,,,,,1.464155529,,,,,,,,,,0.507462687,,,,,,,,1.363636364,,,,,,,,,0.730769231,,,,,,,5,,,,,,,,5,2,,,8,,5,,2,,,,,,2,,,,1.333333333,1.24137931,,21,,,4.8,,,,,,,3.428571429,,,,,,,,,,,5,,,,,2,3,,,,1.125,,,6,,7.5,3,1.5,6,32,8,,1.090909091,,7,,,,4.5,2.4,,4.805970149,,,1.5,,23.5,4,,9,4,5,1.666666667,,,,,4,8,,,,3.5,,,,,,,,,2.5,1.333333333,,1.2,0.5,,,4,,,,,,,,8.8,,,,,1,,,38,5.5,4,,,,,,,,,,,5.666666667,,,,,,,,,,,,,,,,,,,,,,,0.5,1.75,,,,,,,,,,,1,,,,,,13,,89.33333333,,,,5.5,5.5,,,1.2,4.5,,1.8,,,,,,,4,,119.75,,,,,,,,0.666666667,,,,,,4.25,,,,,,,,12,8.857142857,,,,8.666666667,,5.833333333,,,,,2.75,3.857142857,,,3,,,,,,,,,,6.5,,,,,1,,,,,,6,,,,,,,5.473684211,,,,,,,,,,,1.666666667,,,,,,,1.75,3.25,,3,,,,,,4.428571429,,,,10.57142857,1.75,,,5,,1.2,13.33333333,,4,,,,2.5,,7.897435897,,,,4,,,0.8,,,3.25,,,,,,,,,,,,,,,,3,,,,,,0.4,,2.428571429,15,,,,,,,8.5,,,12,,,,1.5,,1.714285714,,,,,,,,,,,,,26.75,78.25,,1.5,,,,24.28571429,1.428571429,,,,,,11.45454545,,2.7,,2.571428571,,59.25,,,,,3.666666667,,,,6.5,3.5,,,9.3,9,,1.013281976,,,,,,,32,,,
2019.08.06_5.4_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3.142857143,,,,,4,,,,3,,,,,,,,,,,,2,,,,,,3,,,,,,,,,6,3.666666667,,,3,,,,2,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111111111,,8,,,2,,,,,,,,,,1,,,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.470468432,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,2.5,,,,,,,,,,,,,6,,,,,,,,,,3.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33333333,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,1,,,,,,,,,2.333333333,,,,349,1,68,,289,,,,,5.333333333,7.5,,,,,,,,,,,,,,,46.33333333,,,,,,,,,,,,,,,,1.333333333,,0.333333333,,,,,,,,,,,,,,,,,,,,0.6,,,2,,1.666666667,,2.963235294,,,,,,,,,,,,,,,6.5,,,,,1.333333333,,,,,,,,,,,,,,2,,,,,,1.857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666667,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,1.80952381,,,,,,2.666666667,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1.75,,,,,,,,,2.428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,3.333333333,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,11.5,,,7,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,6,,,,,,,,,,,,,,,,,
08.06.2019_3A_48h_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656,,333,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.08.06_1.3_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,218,50,,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117021277,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,204.4285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_3A_10h_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514,275,,,779,,,,,1.666666667,,5.2,,,,,,,,,,,,,,10.33333333,,,,,,,,,,,,,1.173333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,2.142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363636364,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,26,,,,,,,,,,1.666666667,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.08.07_6_salt_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,8,108,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444,,,,,,,,,,14.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.08.06_3_sediment_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.636363636,,,,,,,,,,1.545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,184.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,258,,,286,,,,3,2.333333333,,,,,,,,,,,,,6.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28723404,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,13.28571429,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.5,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.333333333,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58974359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,3,,,,,,,,,,0.583684907,,,,,,,
08.06.2019_2B_Top_10h_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,3,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66666667,,,16,,5.25,,,,,,,,,,170,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5,1584.333333,,,,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,147.5,335.2,,,,,,,,,,,,,,1077.666667,,,,,,,,,,,,,37.54666667,,,20.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,93,19,,,,,,0.273677335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,74,2002,,,,,,,,,,86.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1.896551724,,,,,,,,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,2.5,13,,,,,,,,,,,,,,,,,
08.06.2019_2A_Top_48h_16S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,23,,,19,,10.25,,,,,,,,,,148,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925925926,8.727272727,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3489,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,2438.333333,,,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.777777778,,,,,10,,,,,204.6666667,36,224.8,,,,,,,,,,,,,,355.3333333,,,,,,,,,,,,,12.90666667,,,27.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,2,,,,,,,,,,,,,,,,,,,129.5,24.25,,,,,0.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.5,,,,,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,5,,,27.5,,15.55555556,,,,,,,1.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,39,2265,,,,,,,,,,165.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5,9.482758621,,,,,,,,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,7.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.111111111,,,,6.727272727,,,,,,,,,,0.857142857,,,,6.5,12,,,,,,,,,,,,,,,,,
