,Apicomplexa_156,Apicomplexa_326,Apicomplexa_327,Apicomplexa_422,Apicomplexa_433,Apusomonadidae_1,Apusomonadidae_14,Apusomonadidae_4,Apusomonadidae_5,Apusomonadidae_8,Centroheliozoa_1,Centroheliozoa_2,Centroheliozoa_4,Centroheliozoa_5,Centroheliozoa_7,Centroheliozoa_8,Cercozoa_1,Cercozoa_106,Cercozoa_135,Cercozoa_139,Cercozoa_14,Cercozoa_144,Cercozoa_155,Cercozoa_161,Cercozoa_165,Cercozoa_167,Cercozoa_170,Cercozoa_173,Cercozoa_195,Cercozoa_196,Cercozoa_198,Cercozoa_199,Cercozoa_20,Cercozoa_200,Cercozoa_207,Cercozoa_21,Cercozoa_212,Cercozoa_218,Cercozoa_23,Cercozoa_237,Cercozoa_239,Cercozoa_24,Cercozoa_242,Cercozoa_249,Cercozoa_250,Cercozoa_251,Cercozoa_252,Cercozoa_285,Cercozoa_287,Cercozoa_288,Cercozoa_289,Cercozoa_294,Cercozoa_311,Cercozoa_32,Cercozoa_324,Cercozoa_33,Cercozoa_332,Cercozoa_337,Cercozoa_338,Cercozoa_339,Cercozoa_347,Cercozoa_36,Cercozoa_409,Cercozoa_41,Cercozoa_412,Cercozoa_416,Cercozoa_418,Cercozoa_424,Cercozoa_432,Cercozoa_50,Cercozoa_55,Cercozoa_61,Cercozoa_64,Cercozoa_79,Cercozoa_8,Cercozoa_81,Cercozoa_86,Cercozoa_94,Cercozoa_95,Cercozoa_96,Chlorophyta_352,Chlorophyta_388,Chlorophyta_440,Chlorophyta_684,Chlorophyta_753,Chlorophyta_815,Ciliophora_104,Ciliophora_1186,Ciliophora_1225,Ciliophora_1308,Ciliophora_1325,Ciliophora_1344,Ciliophora_135,Ciliophora_1416,Ciliophora_1461,Ciliophora_1639,Ciliophora_191,Ciliophora_246,Ciliophora_357,Ciliophora_428,Ciliophora_446,Ciliophora_471,Ciliophora_472,Ciliophora_473,Ciliophora_520,Ciliophora_574,Ciliophora_583,Ciliophora_585,Ciliophora_667,Ciliophora_750,Ciliophora_78,Ciliophora_800,Ciliophora_807,Ciliophora_817,Ciliophora_818,Conosa_124,Conosa_125,Conosa_126,Conosa_135,Conosa_30,Conosa_41,Conosa_64,Conosa_69,Conosa_91,Conosa_96,Conosa_97,Cryptophyta_116,Cryptophyta_12,Cryptophyta_23,Cryptophyta_33,Cryptophyta_34,Cryptophyta_41,Cryptophyta_5,Cryptophyta_83,Cryptophyta_84,Dinoflagellata_1171,Dinoflagellata_1195,Dinoflagellata_1204,Dinoflagellata_124,Dinoflagellata_1249,Dinoflagellata_1376,Dinoflagellata_1397,Dinoflagellata_1417,Dinoflagellata_1495,Dinoflagellata_1539,Dinoflagellata_1541,Dinoflagellata_1597,Dinoflagellata_1712,Dinoflagellata_1729,Dinoflagellata_1778,Dinoflagellata_1804,Dinoflagellata_1817,Dinoflagellata_1928,Dinoflagellata_1942,Dinoflagellata_716,Dinoflagellata_717,Dinoflagellata_961,Dinoflagellata_97,Discoba_16,Discoba_17,Discoba_18,Discoba_25,Discoba_26,Discoba_30,Discoba_32,Discoba_34,Glaucophyta_2,Glaucophyta_6,Katablepharidophyta_1,Lobosa_27,Lobosa_39,Lobosa_44,Metamonada_11,Metamonada_12,Metamonada_15,Metamonada_16,Metamonada_17,Metamonada_19,Metamonada_22,Metamonada_24,Metamonada_30,Metamonada_33,Metamonada_6,Metamonada_7,Ochrophyta_1092,Ochrophyta_4,Ochrophyta_54,Ochrophyta_731,Ochrophyta_881,Opalozoa_10,Opalozoa_12,Opalozoa_131,Opalozoa_14,Opalozoa_164,Opalozoa_17,Opalozoa_173,Opalozoa_176,Opalozoa_180,Opalozoa_186,Opalozoa_190,Opalozoa_194,Opalozoa_198,Opalozoa_2,Opalozoa_25,Opalozoa_30,Opalozoa_4,Opalozoa_9,Picozoa_13,Picozoa_2,Picozoa_3,Picozoa_4,Pseudofungi_114,Pseudofungi_49,Pseudofungi_52,Pseudofungi_55,Radiolaria_0,Radiolaria_10,Radiolaria_101,Radiolaria_102,Radiolaria_103,Radiolaria_108,Radiolaria_11,Radiolaria_115,Radiolaria_116,Radiolaria_19,Radiolaria_2,Radiolaria_29,Radiolaria_30,Radiolaria_32,Radiolaria_33,Radiolaria_35,Radiolaria_36,Radiolaria_38,Radiolaria_43,Radiolaria_44,Radiolaria_45,Radiolaria_47,Radiolaria_48,Radiolaria_49,Radiolaria_50,Radiolaria_63,Radiolaria_66,Radiolaria_67,Radiolaria_71,Radiolaria_90,Rhodophyta_125,Rhodophyta_263,Rhodophyta_314,Sagenista_118,Sagenista_119,Sagenista_125,Sagenista_130,Sagenista_160,Sagenista_165,Sagenista_170,Sagenista_209,Sagenista_30,Sagenista_31,Sagenista_36,Sagenista_46,Sagenista_48,Sagenista_49,Sagenista_50,Sagenista_51,Sagenista_53,Sagenista_54,Sagenista_61,Sagenista_63,Sagenista_66,Sagenista_71,Sagenista_79,Sagenista_84,Sagenista_86,Sagenista_88,Sagenista_98,Streptophyta_2,Streptophyta_20,Streptophyta_229,Streptophyta_3,Streptophyta_30,Streptophyta_350,Streptophyta_390,Streptophyta_419,Streptophyta_424,Streptophyta_433,Streptophyta_437,Streptophyta_453,Streptophyta_458,Streptophyta_464,Streptophyta_474,Streptophyta_476,Streptophyta_48,Streptophyta_487,Streptophyta_494,Streptophyta_503,Streptophyta_504,Streptophyta_507,Streptophyta_51,Streptophyta_520,Streptophyta_521,Streptophyta_541,Streptophyta_543,Streptophyta_547,Streptophyta_550,Streptophyta_552,Streptophyta_557,Streptophyta_59,Telonemia_16,Telonemia_17,Telonemia_27,Telonemia_28,Telonemia_29,Telonemia_3
2019.08.06_2.2_surface_18S.18S.exp.,,1472,,,,,,,,4,,2,6,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,36,,,,,,,,,,,,37,382,2,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,26,,,,,,,,,,,,10,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10559
2019.08.06_4.2_18S.18S.exp.,,201,,,,,,,,,,,12,,,,102,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15,,,,,,,,,,,12,,,,,,,,11,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,174,739,5,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,53,,,,,,,,373,285,,,,,,,,,,,,,,,,,,,94,231,,,26,,,,17,,,,,,,,,,,,,,,,,,,,,,,38,,,,23,,,,,,,,,,,,,,13,,,,,,,,1149,,,,,,,,,,,,,,,,,,,,,17,,,,,63,16,,,,,,,,,,,3840
2019.08.07_7.2_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,538,,153,,,,,,339,3784,,,,,,,409,,,,,,,,,,,,1371,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2019.08.07_6.1_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,358,363,,,,,,,4,,,,,,,,,,,,10393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_3A_24h_18S.18S.exp.,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,8,,,,7,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,772,,112,,,,,,988,5316,,,,,,,94,,,,,,,4,,,,,497,,,7,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,39
2019.08.06_5_sediment_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,46,,,,,,353,,10,,,,,,,,,,,,4,,,5,8,,,,,,,,,1,,,,,,,,,,,4,,,98,,,,30,,4,102,,,,,,,,,3,,11,,2,,,,1,,,,,,1759,,,,,,,,,,,,,2205,,,,,,,,,,,91,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,4,,,,,3,,8,,,,,1,,,,,,,,17,,,,,,,,,608,,,,,,,829,11,,,,,,,52,,,,240,383,15,6,16,,,,9,,,,,,,,10,,,,,,,,,8,,,2,,,,,,,,,,,,,,22,,,,,,,,,,,,,1,,12,,36,,43,,,,,,,23,,,,,,16,,,,,,,,,,,59,,,,,3,,11,12,,507
2019.08.06_4.4_18S.18S.exp.,,191,,,,,,112,,,,,117,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,18,,56,,,,18,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,508,,,,,,,,,,,,,,132,,,,,,,70,,,,,,,,,,,,,154,,,,,,,,1836,1100,,,,,,,7,,,,,,,,,,,94,328,621,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,41,,,,,,,,,,,120,,,,,,,,,,,,6994
08.06.2019_3_T0_18S.18S.exp.,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,,,396,,69,,,,,,135,2938,,,,,,,159,,,,,,,,,,,,581,7,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,78
2019.08.07_6_sediment_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,39,,,,,,13,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,10,118,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,310,,,,,,,,122,1054,,,,,,,,,,,,,,,,,,77,8125,2401,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,45,,,,,,223,,,,,,,,,,,,,,,,,,,124,,236
08.06.2019_4A_10h_18S.18S.exp.,113,54,,,,,55,,,,,,349,,66,,144,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,55,,,,36,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,29,97,,,,,,,,,,270,,,42,,,,,,,,41,,,,,,,,,,,,,,,28,57,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,229,,,,,,,,,,,,,408,,,,,,,,28,3787,,17,,,,,548,,,,,,,,,,,60,137,436,,,,,,,,6,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,10,7,,,74,,,,,,,267,190,81,,,,,713,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,2929
2019.08.06_5.1_18S.18S.exp.,,204,,,,,,21,,,,,,,,,141,,,,7,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,247,,,17,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,,38,,,,,11,,,,,,,,,,,,,,13,102,,,,,,,,,,,,,,31,,,,,,,19,,,,,,,,,,,,,430,,,,,,,,168,3572,,,,,,,83,,,,,,,,,,,36,289,2826,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,27,,,19,,,,46,,,,,,13,,,,,63,,,,,25,,,,,24,,2930
2019.08.07_6.3_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,297,,54,,,,,,249,1666,,,,,,,6,,,,,,,,,,,,18036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_5A_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,,,3,,,,,,,,,,,,,,,45,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,3,,,,,,,,,,,741,,60,,,,,,638,6933,,,,,,,240,,,,,,,,,,,,110,242,,,,,,,,,,27,,,,,,,,,,,130,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,50,,,42,,,,210,,66,,,,,,,57,,37,,,,,,,,,,,,1027
2019.08.06_3.3_18S.18S.exp.,,92,,,,,,,,,,,,,,28,2,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,232,,,,,,,,160,1322,,,,,,,4,,,,,,,,,,,,55,68,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9807
08.06.2019_2A_Top_48h_18S.18S.exp.,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,4,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,896,66,,,,4,9,76,,,,,,,,,,,,,144,8,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,661,,,,,,,346,284,,54,,,,8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10372
2019.08.06_2.2_bottom_18S.18S.exp.,13,990,,,,,,,,20,,,16,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,6,,,19,7,,85,,,,,,,,,,,,,10,,,,,,,,74,9,,20,,3,,,,2,5,,,,,,,,,,,,,,,,,,,,,12,4,,9,,,,,,,,7,,,4,,,,,,,,,723,,,,,,,,,,,,,63,,,,,,9,,27,3119,,2,,,,32,449,,,,,,,,,,,,,1233,39,15,413,,,,3,,,,,,8,,,,,1046,,,,77,,,,6,,,,415,,,,,19,,,36,20,20,,118,11,,,,,,23,26,,10,,,,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6001
2019.08.06_3_sediment_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,88,,,,,,3,,,,,,,,,,,,,,,,,,,8,24,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,113,,108,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,25,,,,,,,,,,,57,,,,,,,,,,,,1,354,,,,,,,,35,2206,,,,,,,16,,,,,,,,2,,,,76,10845,,5,,,,,,,,,11,,,,,101,,,84,,,,,10,,,,,,,,,,,,,,,,1,,,,16,,,9,,,,,,,,,,,35,,58,12,,,,266,,30,,,,,,85,,,,,62,,,,57,,,,,68,,,,,68,,682
08.06.2019_1A_24h_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,855,,236,,,,,,502,5137,,,,,,,664,,,,,,,,,,,,5671,,,,,,,,,,,,,,,,,11,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2019.08.06_4_sediment_18S.18S.exp.,,,6,,,,,,,,6,,52,,,,15,,,3,,106,,3,2,,,979,17,7,,35,81,,4,6,,16,,,,,,11,4,,17,,,,,,,4,,,,,36,,,32,,10,21,,150,,33,,,15,,,64,337,,,12,,3,,,,6,4,,,6,,,,,,,,,,9,,,,,,50,,9,14,,,,,,11,,3,,,,,2,3,41,,,,,,,,,,,5,,,,,,,,,,,,32,11,,,,,,,,,,,,5,,4,,2,,,,19,,,,,,,,,,56,,,,,,,,,,,,,43,,,,,8,8,,,720,,,,,,,5,13,5,,,,21,,9,9,,29,95,6648,5,26,18,4,2,,13,,,,,,11,,,,,,,,,,,57,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,18,,3,36,,,,,42,4,,,358,,702,22,,,29,,142,,,19,,61,,11,,136,,,104,,78,20,,,,147,22,12782
2019.08.06_2.1_bottom_18S.18S.exp.,8,1255,,,,,,,,34,,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,4,,,17,3,,22,,,,,,,10,,,,,,,,1,,,,,,23,6,,37,,,,,,4,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,5,,,,,,213,,,,,,,1,,,,,,40,,,,,,,,,951,,,,,,21,261,,,,,,,,,,,,143,565,30,10,250,,,,1,,,,,,,,,,,505,,,,99,,,2,,,,,564,,,,,,14,,16,,33,,47,,,,,,,25,15,,3,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8504
2019.08.07_7.5_18S.18S.exp.,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,7,,,,,,,,,,,,,1293,,,,,,,,557,6449,,,,,,,67,,,,,,,,,,,,1998,,,,,,,,,,,,,,16,,,21,,,,,61,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_2_Top_T0_18S.18S.exp.,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,7,,,,119,,,,,,,,4,8484,,,,,,26,953,,,,,,,,,,,,13,12,5,,8,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
2019.08.07_7.1_18S.18S.exp.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,,154,,,,,,380,4418,,,,,,,54,,,,,,,,,,,,2544,5,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2019.08.07_8_sediment_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,122,,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,227,2070,,,,,,,48,,,,,,,,,,,,17707,39,,,,,,,,,,,15,,,,,29,,,22,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,7,,,,,,,,,,,,,,,,,,5,,19
2019.08.06_3.2_18S.18S.exp.,,42,,,,,,,,,,,53,,,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,132,,,,,,,,,,,,,,9,,,,,,,12,,,,,,,,,,,,,191,,,,,,,1,165,1334,,,,,,,,,,,,,,,,,,,34,12,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,8818
2019.08.06_5_salt_18S.18S.exp.,,,,,,,,8,,,,,,,,,187,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,36,,,,,,7,,,,,,,,,,18,20,,,,,14,,,5,56,,,,,,,,,,,,,,,,,,,,,,,84,,,,,16,,,,,,,,12,,,,,,,12,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,11,,,,,,,,,,,,,832,,78,,,,,,1691,7808,,,,,,,146,,,,18,,,,41,,,7,470,214,18,,60,,,13,,,,,,,,,,,,,19,,,,,20,,,,,,17,,,,,,,,,,,34,,,,,,,,,,,,,,4,16,12,,,,,,,,,,,,13,,,,344,,,192,,48,17,,,,,6,,,,,,,,41,,465
08.06.2019_4B_24h_18S.18S.exp.,,,,,,,,,,,,,,,,,110,,,,,,,,,,,50,,,,,81,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,107,,,,,,,51,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,88,,,,,,,,92,803,,,,,,,65,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,83,,,,134,,,,,12,,,,,,,,,,,,,,,,41,,127
2019.08.07_7.2_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,,159,,,,,,436,3846,,,,,,,41,,,,,,,,,,,,1935,6,,,,,,,,,,,,,,,,13,,,,,56,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_2B_Top_10h_18S.18S.exp.,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,285,,,,,,,,,,,,,191,,,,,,,,5,13807,,3,,,,51,1388,,,,,,,,,,,,5,29,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,78
2019.08.07_6.2_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1215,269,,,,,,8,,,,,,,,,,,,15340,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
