,phylum,class,order,family,genus,species,taxon
128,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. J7-2,Natrinema sp. J7-2
146,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,,,Natrialbaceae
170,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,Halorhabdus tiamatea SARL4B
180,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,Halanaeroarchaeum sulfurireducens
181,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,,,Halobacteriaceae
194,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi,Halobellus limi
256,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. IOH1,Thermococcus sp. IOH1
301,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,,,Thermococcaceae
211,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. PV6,Halorubrum sp. PV6
110,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,,,Methanosarcinaceae
175,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,,,Haloarculaceae
182,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,,,Halobacteriaceae
208,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus aerogenes,Haloplanus aerogenes
57,Euryarchaeota,Methanomicrobia,Methanomicrobiales,,,,Methanomicrobiales
162,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,Haloarcula
5,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. AbM4,Methanobrevibacter sp. AbM4
251,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. P6,Thermococcus sp. P6
320,Thaumarchaeota,,,,,,Thaumarchaeota
406,,,,,,,TACK group
407,,,,,,,TACK group
469,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus,Methanothermus fervidus DSM 2088
470,,,,,,,Archaea
474,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,Methanobacterium lacus
62,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,,Methanocella
114,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,Halostella sp. DL-M4,Halostella sp. DL-M4
186,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,,Halobacterium
203,,,,,,archaeon AArc-Sl,archaeon AArc-Sl
306,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,Candidatus Nitrosocosmicus franklandus,Candidatus Nitrosocosmicus franklandus
157,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula taiwanensis,Haloarcula taiwanensis
136,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,Haloterrigena turkmenica DSM 5511
141,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,Natronolimnobius aegyptiacus,Natronolimnobius aegyptiacus
112,Euryarchaeota,Methanomicrobia,,,,,Methanomicrobia
