,phylum,class,order,family,genus,species,taxon
457,Candidatus Micrarchaeota,,,,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,GCF_002214165.1_Candidatus Mancarchaeum acidiphilum_strain=Mia14
484,Euryarchaeota,,,,,,
605,Euryarchaeota,Halobacteria,Halobacteriales,,Salinibaculum,Salinibaculum litoreum,GCF_009789175.1_Salinibaculum litoreum_strain=HD8-45
43,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus sp. CBA1113,GCF_003342695.1_Haloplanus sp. CBA1113_strain=CBA1113
60,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,
578,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas sp. YPL13,GCF_013391105.1_Natronomonas sp. YPL13_strain=YPL13
5,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
11,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,,
596,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halodesulfurarchaeum,Halodesulfurarchaeum formicicum,GCF_001767315.1_Halodesulfurarchaeum formicicum_strain=HTSR1
19,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus sp. CBA1104,GCF_009690625.1_Halorhabdus sp. CBA1104_strain=CBA1104
377,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,,Natrialbaceae archaeon XQ-INN 246,GCF_012044895.1_Natrialbaceae archaeon XQ-INN 246_strain=2447
531,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,GCF_000025865.1_Methanohalophilus mahii DSM 5219_strain=DSM 5219
585,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp. DL1,GCF_000230955.2_Halobacterium sp. DL1_strain=DL1
80,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,,
570,,,,,,,
54,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,
13,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1,GCF_000403645.1_Salinarchaeum sp. Harcht-Bsk1_strain=Harcht-Bsk1
468,Euryarchaeota,Thermoplasmata,,,,,
485,,,,,,,
487,,,,,,,
70,Euryarchaeota,Halobacteria,Haloferacales,,Halalkaliarchaeum,Halalkaliarchaeum desulfuricum,GCF_002952775.1_Halalkaliarchaeum desulfuricum_strain=AArc-Sl
597,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,,,
47,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,,
574,,,,,,,
550,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,,
