,3,5,6,8,11,13,14,19,23,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,50,51,52,54,55,56,60,61,64,65,67,68,69,70,74,75,79,80,119,377,457,468,484,485,487,531,550,570,571,572,573,574,576,578,581,582,584,585,587,591,592,595,596,597,603,604,605,606
2019.08.07_8.4_16S.exp.,8.333333333333334,,1.818181818181818,2.5,,,,,3.5,,267.5,1429.5,1886.0,24.0,,84.17647058823529,69.0,22.5,6.5,,,,4.0,,100.0,212.5,39.0,,,25.5,,318.0625,54.5,,,,,,,,,,61.0,,,,,,,,,,255.0,7.0,48.0,,71.0,,77.0,53.025936599423616,,,,6.0,10.0,,,,154.5,24.0,,
2019.08.06_1_CP_ULT_16S.exp.,13.333333333333336,,,2.5,,,5.0,,7.0,12.222222222222221,236.5,1012.0,1674.5,30.5,,63.529411764705884,,24.0,9.0,,,,5.0,,55.0,379.5,18.0,,6.666666666666668,32.0,,441.0,247.0,,,,38.0,,5.0,,,,143.0,,,,,,,,,,234.0,5.0,68.0,,159.0,,91.0,44.409221902017286,,,,76.0,20.833333333333336,,,,95.5,20.0,,
2019.08.06_3.3_16S.exp.,2.6666666666666665,,,,3.0,,,,,,210.0,1601.0,1507.5,10.5,,39.70588235294117,7.0,11.5,,,,,,,152.0,85.5,81.33333333333333,,,0.5,,217.4375,,,6.5,,3.5,,,15.0,0.6666666666666666,,4.0,,,,,,,,,,937.0,221.0,47.0,,29.0,,105.0,49.71181556195965,39.0,,,,,,,,225.5,19.0,,9.0
2019.08.06_5.2_16S.exp.,15.333333333333336,,0.7272727272727273,1.7857142857142858,1.6666666666666667,,,,,,245.0,1625.0,1084.0,6.0,,1.0588235294117647,141.0,7.5,,,,,,,399.0,75.5,88.66666666666669,,89.77777777777777,2.5,,210.4375,,,92.5,,15.0,,,,,,,,,,,,,,,,905.0,88.0,43.0,,21.0,,105.0,66.94524495677233,1139.0,,51.0,,,,19.0,,182.0,80.5,,
2019.08.06_4.4_16S.exp.,,,2.5454545454545454,,,,,10.0,1.0,,270.0,1783.0,1277.0,17.5,3.0,39.1764705882353,137.5,2.5,,,,0.5,1.5,,178.5,50.5,120.33333333333331,,17.777777777777782,,,181.5625,,2.7,,22.0,9.0,,,,2.0,,4.0,2.0,,,,,,0.6666666666666666,,,638.0,85.0,29.0,,,,110.0,94.78386167146972,126.0,7.0,40.0,11.0,,,20.0,,321.5,16.5,,
2019.08.06_5.4_16S.exp.,7.0,,3.272727272727273,3.928571428571429,1.6666666666666667,,,,,,223.0,1644.0,1233.5,22.5,5.0,31.235294117647058,155.5,9.0,,,,,,,304.0,66.5,100.0,,88.44444444444444,,,182.4375,,,94.0,,18.5,,,,,0.6666666666666666,,,,,,,,,,,777.0,91.0,22.0,,15.0,,93.0,56.3400576368876,1427.0,,58.0,4.0,,,16.0,,262.0,54.0,,
2019.08.06_4.2_16S.exp.,1.6666666666666667,,2.5454545454545454,,,,,,,,243.0,1643.0,1122.5,23.5,,50.82352941176471,89.5,16.0,,,,,,,178.5,44.0,110.0,,11.111111111111109,,,129.0625,18.5,,,16.5,,,4.0,,,,10.0,,4.0,,,,,1.0,,2.627565982404692,410.0,68.0,26.0,,10.0,,101.0,49.71181556195965,89.0,13.0,14.0,17.0,,,,,330.5,16.5,,9.0
2019.08.07_8.2_16S.exp.,9.0,,,2.142857142857143,1.6666666666666667,,,,4.0,,296.0,1492.0,1796.5,18.5,,59.82352941176471,73.0,31.5,,,,,8.0,,107.5,209.0,39.333333333333336,3.0000000000000004,0.8888888888888888,26.5,,308.0,40.0,,,,,,,14.0,,,49.0,,,,,,,,,,289.0,7.0,45.0,,70.0,,92.0,32.47838616714697,,,,6.0,15.0,,,,159.5,15.0,,
2019.08.07_7.2_small_16S.exp.,13.0,1.6666666666666667,5.8181818181818175,0.7142857142857143,,5.0,,,7.5,11.666666666666664,216.5,960.0,1828.0,35.5,,78.88235294117648,28.0,43.5,,5.0,20.5,,2.5,,71.0,295.0,23.33333333333333,,0.4444444444444444,30.5,,500.5,268.0,10.8,,,72.0,,9.0,11.0,,,244.0,,,,,,,,,,239.0,29.0,70.0,,232.0,,113.0,26.512968299711808,,,,49.0,32.5,,,,141.5,20.5,1.5,15.0
2019.08.06_1.3_16S.exp.,9.333333333333334,,,2.8571428571428568,,,,,6.5,11.666666666666664,264.5,1235.0,1766.5,32.0,,67.76470588235293,28.5,36.5,12.5,,,,9.5,,58.5,253.0,19.0,,,20.0,,365.75,216.0,4.5,,,,,,,,,210.0,,,,,,,,,,297.0,12.0,77.0,,150.0,,94.0,41.757925072046106,,,,65.0,20.0,,,,120.5,17.0,,11.0
